iter	MultiClass
281	0.818790601
282	0.8176467031
283	0.8163761099
284	0.8151952721
285	0.8139420592
286	0.8125950971
287	0.8113497521
288	0.8101141861
289	0.8088571352
290	0.8075204874
291	0.8062933162
292	0.8050896597
293	0.8039039741
294	0.80269759
295	0.8014832682
296	0.8002625849
297	0.7990250691
298	0.7978403472
299	0.7967570802
300	0.7957481496
301	0.7945427043
302	0.7933596743
303	0.7922058475
304	0.7911569985
305	0.7899130417
306	0.7886236001
307	0.7874729002
308	0.7863478334
309	0.7852746037
310	0.7841775779
311	0.7830648731
312	0.7819606103
313	0.7809121557
314	0.7798171245
315	0.7786653097
316	0.7775743567
317	0.7764597847
318	0.7753450817
319	0.7741686186
320	0.7730918732
321	0.7719470562
322	0.7708046465
323	0.7697683836
324	0.7687178677
325	0.7676883252
326	0.7667180563
327	0.7657207315
328	0.7647602984
329	0.763799572
330	0.7626148554
331	0.7615547438
332	0.7604831871
333	0.7595407346
334	0.7584228129
335	0.7573642536
336	0.7562832402
337	0.7551961628
338	0.7541492988
339	0.7530747914
340	0.7520282632
341	0.7510588265
342	0.7500999494
343	0.7490215773
344	0.7480547202
345	0.7471131611
346	0.7462506169
347	0.745220582
348	0.7442629796
349	0.7432852586
350	0.7422792759
351	0.7411994825
352	0.7402189919
353	0.7391972973
354	0.7381090502
355	0.7370700603
356	0.7361231821
357	0.7350596428
358	0.7340622485
359	0.7331053918
360	0.7321370889
361	0.7311711507
362	0.7301861325
363	0.7292154441
364	0.728254882
365	0.7273463061
366	0.726285652
367	0.7252856742
368	0.7242849358
369	0.7233629783
370	0.722344585
371	0.721315228
372	0.7204673384
373	0.7195125098
374	0.7185927571
375	0.7176624851
376	0.7167383067
377	0.7158162286
378	0.7148819051
379	0.7139802948
380	0.7130221712
381	0.712135674
382	0.7112877567
383	0.7103717878
384	0.7093171552
385	0.708398956
386	0.7074760922
387	0.7066650501
388	0.7057845976
389	0.7047615807
390	0.7038759674
391	0.7029853126
392	0.7022350696
393	0.7012256675
394	0.7003674733
395	0.6996026841
396	0.6987399297
397	0.6979303084
398	0.6970637227
399	0.6962262172
400	0.6953412442
401	0.6945570234
402	0.6936613485
403	0.6927792541
404	0.6919900178
405	0.6911757051
406	0.6903960307
407	0.6895725502
408	0.6887338708
409	0.6878985255
410	0.6868793789
411	0.6860003928
412	0.6852286721
413	0.6843767686
414	0.6836018773
415	0.6827906799
416	0.6820131324
417	0.681173801
418	0.6804430532
419	0.6796422093
420	0.6788277783
421	0.6780568074
422	0.6772202095
423	0.676475751
424	0.6755910346
425	0.6748959166
426	0.6741079399
427	0.673347547
428	0.672573059
429	0.6718336643
430	0.6711023428
431	0.6702060108
432	0.6695590109
433	0.6687443684
434	0.6679002893
435	0.667171003
436	0.6663820082
437	0.66564431
438	0.6649559157
439	0.6641175045
440	0.6634199666
441	0.6626429422
442	0.6618662594
443	0.661029103
444	0.6601857512
445	0.6594214343
446	0.6586559564
447	0.6579588706
448	0.6572117221
449	0.6563856634
450	0.6556875227
451	0.6549272576
452	0.6540530687
453	0.6532944615
454	0.6524964528
455	0.6516576503
456	0.6508209628
457	0.6500807715
458	0.6493448919
459	0.6487112118
460	0.6479393361
461	0.6472824965
462	0.6466923806
463	0.646068901
464	0.6452831004
465	0.6445444922
466	0.6439139808
467	0.6432451301
468	0.6427099502
469	0.6420539752
470	0.6413647935
471	0.6406833841
472	0.6399631204
473	0.6393060268
474	0.6386614825
475	0.6379279294
476	0.6372565205
477	0.6366275414
478	0.6360251188
479	0.6354051482
480	0.6347178198
481	0.6340606669
482	0.6332907508
483	0.632517811
484	0.6318267882
485	0.6310936916
486	0.6304678952
487	0.6297311606
488	0.6290023016
489	0.6283677479
490	0.6276754069
491	0.6269339919
492	0.6262524436
493	0.625549109
494	0.6249910581
495	0.6242671605
496	0.6237082023
497	0.623103239
498	0.6224997373
499	0.6219135922
500	0.621294408
501	0.6207385752
502	0.6201013201
503	0.6194794313
504	0.61884693
505	0.6182756802
506	0.6176079789
507	0.6170379985
508	0.6163474052
509	0.615758154
510	0.6150920165
511	0.6144285424
512	0.6138392522
513	0.6132173121
514	0.6125717778
515	0.6119190518
516	0.6112260633
517	0.610474487
518	0.6098398399
519	0.6092407508
520	0.6086819429
521	0.6080824415
522	0.6073830227
523	0.6066522282
524	0.6060871614
525	0.6054647248
526	0.6047781187
527	0.6041776416
528	0.6035901664
529	0.6029170477
530	0.602352709
531	0.6018762399
532	0.6013151054
533	0.6005550636
534	0.5999934733
535	0.5994033501
536	0.5988903076
537	0.5983178258
538	0.5978986739
539	0.5973334636
540	0.5966636293
541	0.5961181281
542	0.5954596553
543	0.5948818631
544	0.5943454557
545	0.5938626043
546	0.5931927217
547	0.5925271113
548	0.5918303854
549	0.5912208566
550	0.5906839953
551	0.5901305275
552	0.5895091725
553	0.5888878206
554	0.5882979417
555	0.58769819
556	0.5871564414
557	0.586530046
558	0.5859623187
559	0.5853874691
560	0.5847421499
561	0.5841330531
562	0.5834829335
563	0.5829141783
564	0.5823549072
565	0.5818467734
566	0.5812537311
567	0.5807712937
568	0.5802638655
569	0.5796516782
570	0.5791665246
571	0.5785506827
572	0.577995939
573	0.5775505541
574	0.5769743863
575	0.5764513635
576	0.5759356134
577	0.5752603255
578	0.5746779448
579	0.5740755194
580	0.5735817858
581	0.5730338913
582	0.5724216762
583	0.5719125348
584	0.5713318994
585	0.5707065874
586	0.5701682878
587	0.5696249619
588	0.5690926507
589	0.5685703775
590	0.5680436701
591	0.5674565788
592	0.5668894771
593	0.5663733792
594	0.5658632984
595	0.5652705612
596	0.5646315651
597	0.5640610194
598	0.563512948
599	0.5629667895
600	0.5623404556
601	0.5618293099
602	0.5614026719
603	0.5607911048
604	0.5601468542
605	0.5594955187
606	0.5589974161
607	0.5585089978
608	0.5580334876
609	0.5573784721
610	0.5568417359
611	0.5562373678
612	0.5557519419
613	0.5552712715
614	0.5547394288
615	0.554271147
616	0.5537644624
617	0.5532878099
618	0.5528375383
619	0.5523312799
620	0.55173976
621	0.5512064246
622	0.5508130809
623	0.5503208112
624	0.5497352455
625	0.5492502897
626	0.5486171332
627	0.5480887391
628	0.5475396944
629	0.5470476208
630	0.5465670824
631	0.546064421
632	0.5455841216
633	0.5450793275
634	0.5446435878
635	0.5441641988
636	0.5436888444
637	0.543231687
638	0.542766039
639	0.5423030826
640	0.541726199
641	0.5412130525
642	0.5407482186
643	0.5402986421
644	0.5397553867
645	0.5392173436
646	0.5388019807
647	0.5383306981
648	0.5378989794
649	0.5374345771
650	0.5369639514
651	0.5363845498
652	0.5359308148
653	0.5354917934
654	0.5349264167
655	0.5344515257
656	0.533899117
657	0.5335414864
658	0.5330146628
659	0.5324801224
660	0.5320248788
661	0.5316118385
662	0.5311037558
663	0.530590007
664	0.5301018176
665	0.529500208
666	0.5289461521
667	0.5284111797
668	0.5278452703
669	0.5274100871
670	0.5269636537
671	0.5263890437
672	0.5258244279
673	0.5253207029
674	0.5248808539
675	0.5243980231
676	0.5238971367
677	0.5233977214
678	0.5229834802
679	0.5225089729
680	0.5219466392
681	0.5214582626
682	0.5209277244
683	0.5203659368
684	0.5199662317
685	0.519545582
686	0.519072666
687	0.5185358714
688	0.5179892444
689	0.5174613244
690	0.5169438492
691	0.5165229115
692	0.5161334079
693	0.5157529885
694	0.5151899763
695	0.5147130043
696	0.5141872347
697	0.5136657101
698	0.513167468
699	0.5127759561
700	0.5123028557
701	0.5117685499
702	0.5112947369
703	0.5108253828
704	0.5103344039
705	0.5097279141
706	0.509177838
707	0.508782461
708	0.5082410442
709	0.5076478743
710	0.5072177744
711	0.5067204769
712	0.5062397225
713	0.5058365092
714	0.5054438002
715	0.5049427416
716	0.5044206925
717	0.5039399486
718	0.5034135615
719	0.5030670974
720	0.5025835369
721	0.502180542
722	0.5016936584
723	0.5012628536
724	0.5007690814
725	0.5002908546
726	0.4997265062
727	0.4991875823
728	0.4987208236
729	0.4982926594
730	0.4977862432
731	0.4974450782
732	0.4969013122
733	0.4964587576
734	0.4959552287
735	0.4954863251
736	0.4951395489
737	0.4946086602
738	0.4941853232
739	0.4937226213
740	0.4931898828
741	0.4926931033
742	0.4922266419
743	0.4918529281
744	0.4914833808
745	0.4910077493
746	0.4904944761
747	0.4899125214
748	0.4894113977
749	0.4889903465
750	0.4885107647
751	0.4880143811
752	0.4875770396
753	0.4871854622
754	0.4867193791
755	0.4862532386
756	0.4858672512
757	0.4853581329
758	0.4849541428
759	0.4844368638
760	0.4839764473
761	0.4835091168
762	0.4832046859
763	0.4827551088
764	0.4822969353
765	0.4818788279
766	0.481331328
767	0.4810651185
768	0.4807253149
769	0.4803311578
770	0.4797849307
771	0.4792899073
772	0.4788100013
773	0.478370066
774	0.4778687419
775	0.4774029371
776	0.4770205399
777	0.4766267932
778	0.4762370596
779	0.4757300616
780	0.4752351346
781	0.4747765646
782	0.4743031475
783	0.4738209099
784	0.4732797932
785	0.4728807288
786	0.4724667071
787	0.4720196334
788	0.4715591797
789	0.471069713
790	0.4706915826
791	0.4702127975
792	0.4697538737
793	0.4694413602
794	0.4690280531
795	0.4685611464
796	0.4682111584
797	0.4677119046
798	0.4673200433
799	0.4669608439
800	0.4666671226
801	0.4663079997
802	0.466000305
803	0.4655071968
804	0.4650053545
805	0.4645489534
806	0.4640385596
807	0.4637032522
808	0.4632698217
809	0.4628287704
810	0.4623389183
811	0.4619212303
812	0.4614927286
813	0.461005693
814	0.4606142481
815	0.4601698773
816	0.4596973002
817	0.4592339871
818	0.4589049038
819	0.4584047146
820	0.4580017547
821	0.4575197944
822	0.4570751502
823	0.4566548527
824	0.4562734527
825	0.4558662585
826	0.4555228186
827	0.455110368
828	0.4546647608
829	0.4542305215
830	0.4538761346
831	0.4534756721
832	0.4531813558
833	0.4528157924
834	0.4524717272
835	0.4520478848
836	0.451664479
837	0.4512840991
838	0.4508870304
839	0.4505200912
840	0.4500351345
841	0.4496352597
842	0.4492979596
843	0.4488790024
844	0.4485085274
845	0.4480844228
846	0.4476940337
847	0.4472945373
848	0.4469633834
849	0.4466194971
850	0.4462437296
851	0.4458573954
852	0.4455529541
853	0.4451524006
854	0.4447975641
855	0.4443076313
856	0.4439156323
857	0.443487792
858	0.4430444817
859	0.4426732915
860	0.4422491303
861	0.4418085775
862	0.4415460516
863	0.4411136989
864	0.4407341234
865	0.4403530959
866	0.4399051659
867	0.4395274045
868	0.4392100293
869	0.4388485669
870	0.4384541301
871	0.4380423068
872	0.4376344174
873	0.4373363569
874	0.4368751631
875	0.4364846414
876	0.4362161676
877	0.4358050737
878	0.4353801047
879	0.4349317679
880	0.4345645849
881	0.4341451059
882	0.4338115938
883	0.4333779102
884	0.4329992668
885	0.4325754262
886	0.4322762593
887	0.4320009887
888	0.4317009676
889	0.4313786892
890	0.4310732585
891	0.4306429426
892	0.4302727353
893	0.4299428299
894	0.4295244344
895	0.4290739874
896	0.4287276191
897	0.4284118465
898	0.4279726231
899	0.4276733811
900	0.4273548059
901	0.4270040011
902	0.4265427884
903	0.4261349993
904	0.4257712521
905	0.4253163036
906	0.4249695127
907	0.4246403195
908	0.4242805739
909	0.4239174863
910	0.4235814507
911	0.4232003417
912	0.4228663753
913	0.4223613328
914	0.4220047776
915	0.421672796
916	0.4213083561
917	0.4209816538
918	0.4206348358
919	0.4203278051
920	0.4200266283
921	0.4197150587
922	0.4193740941
923	0.419028247
924	0.4186702697
925	0.4183398661
926	0.4179909287
927	0.4176315321
928	0.4173238697
929	0.4169913795
930	0.4167053375
931	0.4163042372
932	0.4160111896
933	0.4156415459
934	0.4152595122
935	0.4148727293
936	0.4144829213
937	0.414058738
938	0.4136740432
939	0.4133226945
940	0.4129840064
941	0.4125760456
942	0.4123543753
943	0.4118840318
944	0.4115297302
945	0.4111858379
946	0.410813475
947	0.4104119086
948	0.4100833739
949	0.4096763988
950	0.409324465
951	0.4089831485
952	0.408614337
953	0.4083087322
954	0.407963756
955	0.4075793741
956	0.4071963967
957	0.4068931438
958	0.4065156735
959	0.4061145067
960	0.4057852682
961	0.4053634635
962	0.4049952026
963	0.4045769996
964	0.4042552731
965	0.4038700846
966	0.4034969444
967	0.4031310529
968	0.4027777539
969	0.4024829471
970	0.4021251825
971	0.4017524581
972	0.4014150106
973	0.4011110232
974	0.4007518185
975	0.4004427235
976	0.4001255684
977	0.399856665
978	0.3994695591
979	0.3990930456
980	0.3988096637
981	0.3985158694
982	0.3982338603
983	0.397896609
984	0.3975929127
985	0.3972310207
986	0.3968591294
987	0.396527604
988	0.3961917431
989	0.3958720218
990	0.3954860769
991	0.3951147761
992	0.3947730071
993	0.3943987735
994	0.3940911298
995	0.3937991529
996	0.3934194636
997	0.3930953877
998	0.392735868
999	0.3924239428
