iter	Logloss
0	0.6891960649
1	0.6847127276
2	0.6805995195
3	0.6761156359
4	0.6718410778
5	0.6677059248
6	0.6630318834
7	0.6593391626
8	0.6550777831
9	0.6516164131
10	0.6476433386
11	0.6440205438
12	0.6403750711
13	0.6367784124
14	0.6332228793
15	0.6300390175
16	0.6264762015
17	0.6237737674
18	0.6204736226
19	0.6172806239
20	0.6139895335
21	0.6111087652
22	0.6084381684
23	0.6055049437
24	0.6024071068
25	0.5995949685
26	0.5967170003
27	0.593496107
28	0.5907435103
29	0.5877040589
30	0.5851523178
31	0.5825814568
32	0.580125208
33	0.5774747443
34	0.5749304423
35	0.5729773775
36	0.5712139359
37	0.5684887336
38	0.5658157948
39	0.5635512483
40	0.5614662364
41	0.5592799259
42	0.5571516385
43	0.5550217344
44	0.5527853956
45	0.5505254475
46	0.5482797319
47	0.5462144279
48	0.5439223148
49	0.5420468745
50	0.5397235113
51	0.537918498
52	0.5357112638
53	0.5335989633
54	0.5313366114
55	0.530010367
56	0.5281800542
57	0.5264708615
58	0.5247763638
59	0.5231536165
60	0.5212755493
61	0.5196116692
62	0.5180938478
63	0.5166244204
64	0.5152666158
65	0.5138127885
66	0.5116319941
67	0.5096744961
68	0.5080241718
69	0.5064407223
70	0.5052682118
71	0.5037526344
72	0.5024459913
73	0.5010985735
74	0.4998667083
75	0.4984233603
76	0.4967824498
77	0.494983313
78	0.4936077115
79	0.4921819936
80	0.4907955279
81	0.4892292625
82	0.4877667348
83	0.4862993769
84	0.4847951638
85	0.4833536735
86	0.4824212408
87	0.4809505104
88	0.4797555904
89	0.478351809
90	0.4769872941
91	0.4753737346
92	0.4741691954
93	0.4733435707
94	0.4721224993
95	0.4705697343
96	0.4693529032
97	0.4678769438
98	0.4666570491
99	0.4652258075
100	0.4638300864
101	0.4627536166
102	0.4617123635
103	0.4604937865
104	0.4592032112
105	0.4583182599
106	0.4573199798
107	0.4561679563
108	0.455204239
109	0.4536292601
110	0.4529285593
111	0.4512727202
112	0.4505201145
113	0.4493576798
114	0.4480757375
115	0.4467687274
116	0.445948314
117	0.444878423
118	0.4437214742
119	0.4430564206
120	0.4423404249
121	0.4415643643
122	0.4407213792
123	0.43997969
124	0.4387229024
125	0.4377430965
126	0.4367128022
127	0.4358845455
128	0.4349599934
129	0.4339412914
130	0.4333224193
131	0.4322827831
132	0.4313783247
133	0.4307487803
134	0.4299486092
135	0.4289928039
136	0.4279975536
137	0.4272310347
