iter	Passed	Remaining
415	3012	4229
416	3020	4222
417	3027	4215
418	3034	4207
419	3042	4201
420	3049	4193
421	3056	4186
422	3064	4180
423	3072	4173
424	3079	4166
425	3086	4158
426	3093	4151
427	3101	4144
428	3107	4136
429	3114	4128
430	3121	4121
431	3128	4113
432	3135	4105
433	3142	4097
434	3149	4090
435	3156	4083
436	3163	4076
437	3171	4068
438	3178	4061
439	3185	4053
440	3192	4047
441	3199	4039
442	3207	4032
443	3214	4025
444	3221	4018
445	3229	4011
446	3237	4004
447	3244	3997
448	3251	3989
449	3258	3982
450	3265	3974
451	3272	3967
452	3279	3960
453	3287	3953
454	3294	3946
455	3302	3939
456	3309	3931
457	3316	3924
458	3323	3916
459	3330	3909
460	3337	3902
461	3345	3895
462	3352	3888
463	3360	3881
464	3367	3874
465	3374	3867
466	3381	3859
467	3389	3852
468	3396	3845
469	3404	3838
470	3411	3831
471	3418	3823
472	3425	3816
473	3432	3809
474	3439	3801
475	3446	3794
476	3453	3786
477	3460	3779
478	3468	3772
479	3475	3765
480	3482	3757
481	3489	3750
482	3497	3744
483	3501	3733
484	3508	3725
485	3516	3719
486	3523	3711
487	3530	3704
488	3538	3697
489	3546	3690
490	3553	3683
491	3560	3676
492	3567	3669
493	3575	3662
494	3582	3654
495	3589	3647
496	3596	3639
497	3603	3632
498	3611	3626
499	3619	3619
500	3626	3612
501	3634	3605
502	3641	3597
503	3648	3590
504	3655	3582
505	3661	3575
506	3669	3567
507	3676	3560
508	3683	3552
509	3690	3545
510	3698	3538
511	3705	3532
512	3713	3524
513	3720	3517
514	3727	3510
515	3734	3502
516	3741	3495
517	3748	3488
518	3755	3480
519	3763	3474
520	3771	3467
521	3780	3461
522	3787	3454
523	3796	3448
524	3804	3441
525	3812	3435
526	3820	3429
527	3828	3422
528	3836	3415
529	3844	3409
530	3851	3402
531	3854	3390
532	3862	3383
533	3869	3377
534	3877	3369
535	3884	3363
536	3892	3356
537	3901	3350
538	3908	3342
539	3915	3335
540	3922	3327
541	3929	3320
542	3934	3310
543	3941	3303
544	3947	3295
545	3954	3288
546	3961	3281
547	3968	3273
548	3976	3266
549	3983	3259
550	3990	3251
551	3997	3244
552	4005	3237
553	4012	3230
554	4019	3223
555	4027	3215
556	4034	3208
557	4041	3201
558	4048	3193
559	4054	3185
560	4061	3178
561	4068	3170
562	4074	3162
563	4081	3155
564	4088	3147
565	4094	3139
566	4102	3133
567	4110	3126
568	4117	3118
569	4123	3110
570	4130	3103
571	4136	3095
572	4143	3087
573	4150	3080
574	4156	3072
575	4163	3064
576	4169	3056
577	4176	3049
578	4183	3041
579	4189	3033
580	4196	3026
581	4203	3018
582	4209	3011
583	4216	3003
584	4223	2996
585	4230	2988
586	4237	2981
587	4244	2973
588	4251	2966
589	4257	2958
590	4264	2951
591	4271	2943
592	4278	2936
593	4285	2929
594	4292	2921
595	4299	2914
596	4306	2907
597	4314	2900
598	4322	2893
599	4329	2886
600	4336	2879
601	4344	2872
602	4350	2864
603	4358	2857
604	4365	2850
605	4369	2840
606	4376	2833
607	4384	2826
608	4391	2819
609	4398	2812
610	4405	2804
611	4412	2797
612	4420	2790
613	4426	2782
614	4433	2775
615	4441	2768
616	4448	2761
617	4455	2754
618	4463	2747
619	4470	2739
620	4477	2732
621	4484	2725
622	4491	2717
623	4498	2710
624	4506	2704
625	4514	2697
626	4522	2690
627	4529	2683
628	4536	2676
629	4544	2668
630	4551	2661
631	4558	2654
632	4566	2647
633	4572	2639
634	4579	2632
635	4586	2625
636	4593	2617
637	4601	2610
638	4608	2603
639	4615	2596
640	4622	2589
641	4630	2582
642	4637	2574
643	4644	2567
644	4652	2560
645	4659	2553
646	4666	2545
647	4673	2538
648	4681	2531
649	4688	2524
650	4695	2517
651	4702	2510
652	4711	2503
653	4719	2496
654	4726	2489
655	4734	2482
656	4741	2475
657	4748	2468
658	4756	2461
659	4763	2453
660	4770	2446
661	4778	2439
662	4785	2432
663	4792	2424
664	4799	2417
665	4806	2410
666	4814	2403
667	4820	2396
668	4828	2388
669	4835	2381
670	4842	2374
671	4849	2367
672	4857	2360
673	4864	2352
674	4871	2345
675	4879	2338
676	4886	2331
677	4893	2323
678	4899	2316
679	4907	2309
680	4914	2302
681	4922	2295
682	4930	2288
683	4937	2281
684	4944	2273
685	4951	2266
686	4958	2259
687	4966	2252
688	4974	2245
689	4981	2238
690	4989	2231
691	4996	2224
692	5004	2216
693	5011	2209
694	5019	2202
695	5026	2195
696	5033	2188
697	5038	2180
698	5045	2172
699	5052	2165
700	5059	2158
701	5066	2150
702	5073	2143
703	5080	2136
704	5088	2129
705	5095	2121
706	5102	2114
707	5109	2107
708	5116	2100
709	5125	2093
710	5133	2086
711	5140	2079
712	5147	2072
713	5155	2065
714	5163	2058
715	5170	2050
716	5177	2043
717	5184	2036
718	5191	2029
719	5199	2021
720	5206	2014
721	5213	2007
722	5220	2000
723	5227	1992
724	5234	1985
725	5242	1978
726	5249	1971
727	5256	1963
728	5263	1956
729	5270	1949
730	5278	1942
731	5285	1935
732	5293	1928
733	5300	1920
734	5307	1913
735	5314	1906
736	5322	1899
737	5330	1892
738	5337	1885
739	5344	1877
740	5351	1870
741	5357	1862
742	5365	1855
743	5372	1848
744	5378	1841
745	5385	1833
746	5393	1826
747	5400	1819
748	5407	1812
749	5414	1804
750	5421	1797
751	5429	1790
752	5436	1783
753	5444	1776
754	5451	1769
755	5458	1761
756	5465	1754
757	5473	1747
758	5480	1740
759	5488	1733
760	5496	1726
761	5503	1718
762	5510	1711
763	5517	1704
764	5524	1697
765	5532	1690
766	5541	1683
767	5548	1676
768	5556	1669
769	5563	1661
770	5570	1654
771	5577	1647
772	5584	1639
773	5591	1632
774	5598	1625
775	5606	1618
776	5613	1611
777	5620	1603
778	5627	1596
779	5633	1589
780	5640	1581
781	5648	1574
782	5655	1567
783	5662	1560
784	5669	1552
785	5677	1545
786	5684	1538
787	5691	1531
788	5698	1523
789	5706	1516
790	5713	1509
791	5720	1502
792	5728	1495
793	5736	1488
794	5744	1481
795	5751	1474
796	5758	1466
797	5765	1459
798	5772	1452
799	5779	1444
800	5786	1437
801	5793	1430
802	5800	1423
803	5807	1415
804	5814	1408
805	5820	1401
806	5828	1393
807	5835	1386
808	5842	1379
809	5849	1372
810	5856	1364
811	5863	1357
812	5870	1350
813	5877	1343
814	5884	1335
815	5891	1328
816	5898	1321
817	5905	1313
818	5912	1306
819	5919	1299
820	5927	1292
821	5936	1285
822	5943	1278
823	5951	1271
824	5959	1264
825	5966	1256
826	5973	1249
827	5981	1242
828	5988	1235
829	5995	1228
830	6002	1220
831	6010	1213
832	6016	1206
833	6023	1198
834	6031	1191
835	6038	1184
836	6045	1177
837	6052	1170
838	6059	1162
839	6066	1155
840	6073	1148
841	6080	1141
842	6088	1133
843	6095	1126
844	6102	1119
845	6109	1112
846	6116	1104
847	6124	1097
848	6132	1090
849	6139	1083
850	6146	1076
851	6153	1068
852	6160	1061
853	6167	1054
854	6174	1047
855	6181	1039
856	6188	1032
857	6195	1025
858	6202	1018
859	6209	1010
860	6216	1003
861	6223	996
862	6231	989
863	6238	982
864	6245	974
865	6252	967
866	6259	960
867	6266	952
868	6272	945
869	6279	938
870	6287	931
871	6293	923
872	6300	916
873	6307	909
874	6315	902
875	6322	894
876	6331	887
877	6338	880
878	6346	873
879	6353	866
880	6360	859
881	6367	851
882	6374	844
883	6382	837
884	6389	830
885	6396	822
886	6403	815
887	6410	808
888	6417	801
889	6424	793
890	6431	786
891	6438	779
892	6445	772
893	6453	765
894	6460	757
895	6467	750
896	6474	743
897	6481	736
898	6489	729
899	6496	721
900	6503	714
901	6510	707
902	6517	700
903	6525	692
904	6533	685
905	6541	678
906	6549	671
907	6556	664
908	6562	657
909	6570	649
910	6576	642
911	6584	635
912	6591	628
913	6598	620
914	6605	613
915	6613	606
916	6620	599
917	6627	591
918	6634	584
919	6641	577
920	6649	570
921	6656	563
922	6663	555
923	6670	548
924	6677	541
925	6685	534
926	6688	526
927	6695	519
928	6698	511
929	6707	504
930	6714	497
931	6721	490
932	6728	483
933	6735	475
934	6743	468
935	6750	461
936	6758	454
937	6765	447
938	6772	439
939	6779	432
940	6786	425
941	6794	418
942	6801	411
943	6808	403
944	6815	396
945	6822	389
946	6829	382
947	6836	375
948	6844	367
949	6851	360
950	6858	353
951	6866	346
952	6873	338
953	6880	331
954	6887	324
955	6894	317
956	6901	310
957	6909	302
958	6916	295
959	6923	288
960	6931	281
961	6939	274
962	6946	266
963	6954	259
964	6961	252
965	6969	245
966	6975	238
967	6982	230
968	6990	223
969	6997	216
970	7004	209
971	7011	201
972	7018	194
973	7026	187
974	7033	180
975	7039	173
976	7047	165
977	7054	158
978	7061	151
979	7069	144
980	7076	137
981	7083	129
982	7091	122
983	7098	115
984	7105	108
985	7112	100
986	7119	93
987	7127	86
988	7134	79
989	7141	72
990	7148	64
991	7155	57
992	7162	50
993	7170	43
994	7177	36
995	7184	28
996	7192	21
997	7199	14
998	7206	7
999	7214	0
